"Name","Team","Position","GP","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","REB","AST","STL","BLK","TO","DD2","TD3","PER"
"LeBron James","CLE","SF","22","41.9","34.0","12.5","23.2","53.9","1.8","5.2","34.2","7.2","9.7","74.6","9.1","9.0","1.4","1.0","4.3","15","4","32.31"
"Anthony Davis","NO","PF","9","39.8","30.1","11.8","22.7","52.0","0.7","2.4","27.3","5.9","7.1","82.8","13.4","1.7","2.0","2.3","2.6","9","0","25.89"
"Russell Westbrook","OKC","PG","6","39.2","29.3","10.7","26.8","39.8","2.5","7.0","35.7","5.5","6.7","82.5","12.0","7.5","1.5","0.0","5.2","6","0","20.35"
"Kevin Durant","GS","SF","21","38.4","29.0","10.1","20.7","48.7","2.2","6.6","34.1","6.5","7.2","90.1","7.8","4.7","0.7","1.2","2.4","5","1","25.18"
"James Harden","HOU","SG","17","36.5","28.6","9.3","22.6","41.0","3.1","10.2","29.9","6.9","7.8","88.7","5.2","6.8","2.2","0.6","3.8","4","0","25.00"
"John Wall","WSH","PG","6","39.0","26.0","9.3","21.2","44.1","0.7","3.5","19.0","6.7","7.8","85.1","5.7","11.5","2.3","1.3","4.5","3","0","24.27"
"Giannis Antetokounmpo","MIL","PF","7","40.0","25.7","9.9","17.3","57.0","0.6","2.0","28.6","5.4","7.9","69.1","9.6","6.3","1.4","0.9","2.4","3","0","26.68"
"Stephen Curry","GS","PG","15","37.0","25.5","9.1","20.3","45.1","4.3","10.8","39.5","3.0","3.1","95.7","6.1","5.4","1.7","0.7","2.9","1","0","22.35"
"CJ McCollum","POR","SG","4","38.8","25.3","10.0","19.3","51.9","2.8","6.5","42.3","2.5","3.3","76.9","2.0","3.5","1.3","0.3","2.3","0","0","19.64"
"Khris Middleton","MIL","SF","7","39.3","24.7","9.6","16.0","59.8","3.6","5.9","61.0","2.0","2.7","73.7","5.1","3.1","0.9","0.7","2.3","0","0","22.56"
